country_name,continent,population
USA,North America,331000000
Canada,North America,37742154
Germany,Europe,83783942
France,Europe,65273511
Japan,Asia,126476461
United Kingdom,Europe,67886011
Italy,Europe,60244639
China,Asia,1403500365
India,Asia,1380004385
Brazil,South America,213993437
Mexico,North America,130262216
Spain,Europe,46736776
Australia,Oceania,25499884
South Africa,Africa,59308690
Egypt,Africa,104124440
Argentina,South America,45195777
Russia,Europe,145912025
Ukraine,Europe,41221563
Thailand,Asia,69830779
South Korea,Asia,51780579
Netherlands,Europe,17134872
Greece,Europe,10423054
Portugal,Europe,10196709
Turkey,Asia,84339067
Poland,Europe,38386000
Sweden,Europe,10367232
Switzerland,Europe,8654622
Belgium,Europe,11589623
Austria,Europe,8902600
Norway,Europe,5421241
Denmark,Europe,5792202
Finland,Europe,5540720
Ireland,Europe,4977400
New Zealand,Oceania,4822233
Hungary,Europe,9660351
Czech Republic,Europe,10708981
Romania,Europe,19237691
Chile,South America,19214651
Peru,South America,33297151
Colombia,South America,51582292
Venezuela,South America,28435943
Ecuador,South America,17643054
Saudi Arabia,Asia,34813871
Iran,Asia,83992949
Iraq,Asia,40222493
Pakistan,Asia,225199937
Bangladesh,Asia,164689383
Vietnam,Asia,98168800
Philippines,Asia,111046913
Indonesia,Asia,276361783
Malaysia,Asia,32722760
Singapore,Asia,5896684
Myanmar,Asia,54409800
Nepal,Asia,29609623
Sri Lanka,Asia,21413249
Afghanistan,Asia,38928346
Uzbekistan,Asia,33469199
Kazakhstan,Asia,18776707
Kyrgyzstan,Asia,6524195
Tajikistan,Asia,9537645
Turkmenistan,Asia,6031200
Mongolia,Asia,3278290
North Korea,Asia,25778816
Cambodia,Asia,16718971
Laos,Asia,7275560
